Date,Settlement Period,EBCA (£),EBVA (MWh),SBVA (MWh),BPA (£/MWh),ESCA (£),ESVA (MWh),SSVA (MWh),SPA (£/MWh)
28/07/2017,8,0,0,0,0,0,0,0,0
28/07/2017,9,0,0,0,0,0,0,0,0
28/07/2017,10,0,0,0,0,0,0,0,0
28/07/2017,11,0,0,0,0,0,0,0,0
28/07/2017,12,0,0,0,0,0,0,0,0
28/07/2017,13,0,0,0,0,0,0,0,0
28/07/2017,14,0,0,0,0,0,0,0,0
28/07/2017,15,0,0,0,0,0,0,0,0
28/07/2017,16,0,0,0,0,0,0,0,0
28/07/2017,17,0,0,0,0,0,0,0,0
28/07/2017,18,0,0,0,0,0,0,0,0
28/07/2017,19,0,0,0,0,0,0,0,0
28/07/2017,20,0,0,0,0,0,0,0,0
28/07/2017,21,0,0,0,0,0,0,0,0
28/07/2017,22,0,0,0,0,0,0,0,0
28/07/2017,23,0,0,0,0,0,0,0,0
28/07/2017,24,0,0,0,0,0,0,0,0
28/07/2017,25,0,0,0,0,0,0,0,0
28/07/2017,26,0,0,0,0,0,0,0,0
28/07/2017,27,0,0,0,0,0,0,0,0
28/07/2017,28,0,0,0,0,0,0,0,0
28/07/2017,29,0,0,0,0,0,0,0,0
28/07/2017,30,0,0,0,0,0,0,0,0
28/07/2017,31,0,0,0,0,0,0,0,0
28/07/2017,32,0,0,0,0,0,0,0,0
28/07/2017,33,0,0,0,0,0,0,0,0
28/07/2017,34,0,0,0,0,0,0,0,0
28/07/2017,35,0,0,0,0,0,0,0,0
28/07/2017,36,0,0,0,0,0,0,0,0
28/07/2017,37,0,0,0,0,0,0,0,0
28/07/2017,38,0,0,0,0,0,0,0,0
28/07/2017,39,0,0,0,0,0,0,0,0
28/07/2017,40,0,0,0,0,0,0,0,0
28/07/2017,41,0,0,0,0,0,0,0,0
28/07/2017,42,0,0,0,0,0,0,0,0
28/07/2017,43,0,0,0,0,0,0,0,0
28/07/2017,44,0,0,0,0,0,0,0,0
28/07/2017,45,0,0,0,0,0,0,0,0
28/07/2017,46,0,0,0,0,0,0,0,0
28/07/2017,47,0,0,0,0,0,0,0,0
28/07/2017,48,0,0,0,0,0,0,0,0
29/07/2017,1,0,0,0,0,0,0,0,0
29/07/2017,2,0,0,0,0,0,0,0,0
29/07/2017,3,0,0,0,0,0,0,0,0
29/07/2017,4,0,0,0,0,0,0,0,0
29/07/2017,5,0,0,0,0,0,0,0,0
29/07/2017,6,0,0,0,0,0,0,0,0
29/07/2017,7,0,0,0,0,0,0,0,0
29/07/2017,8,0,0,0,0,0,0,0,0
29/07/2017,9,0,0,0,0,0,0,0,0
29/07/2017,10,0,0,0,0,0,0,0,0
29/07/2017,11,0,0,0,0,0,0,0,0
29/07/2017,12,0,0,0,0,0,0,0,0
29/07/2017,13,0,0,0,0,0,0,0,0
29/07/2017,14,0,0,0,0,0,0,0,0
29/07/2017,15,0,0,0,0,0,0,0,0
29/07/2017,16,0,0,0,0,0,0,0,0
29/07/2017,17,0,0,0,0,0,0,0,0
29/07/2017,18,0,0,0,0,0,0,0,0
29/07/2017,19,0,0,0,0,0,0,0,0
29/07/2017,20,0,0,0,0,0,0,0,0
29/07/2017,21,0,0,0,0,0,0,0,0
29/07/2017,22,0,0,0,0,0,0,0,0
29/07/2017,23,0,0,0,0,0,0,0,0
29/07/2017,24,0,0,0,0,0,0,0,0
29/07/2017,25,0,0,0,0,0,0,0,0
29/07/2017,26,0,0,0,0,0,0,0,0
29/07/2017,27,0,0,0,0,0,0,0,0
29/07/2017,28,0,0,0,0,0,0,0,0
29/07/2017,29,0,0,0,0,0,0,0,0
29/07/2017,30,0,0,0,0,0,0,0,0
29/07/2017,31,0,0,0,0,0,0,0,0
29/07/2017,32,0,0,0,0,0,0,0,0
29/07/2017,33,0,0,0,0,0,0,0,0
29/07/2017,34,0,0,0,0,0,0,0,0
29/07/2017,35,0,0,0,0,0,0,0,0
29/07/2017,36,0,0,0,0,0,0,0,0
29/07/2017,37,0,0,0,0,0,0,0,0
29/07/2017,38,0,0,0,0,0,0,0,0
29/07/2017,39,0,0,0,0,0,0,0,0
29/07/2017,40,0,0,0,0,0,0,0,0
29/07/2017,41,0,0,0,0,0,0,0,0
29/07/2017,42,0,0,0,0,0,0,0,0
29/07/2017,43,0,0,0,0,0,0,0,0
29/07/2017,44,0,0,0,0,0,0,0,0
29/07/2017,45,0,0,0,0,0,0,0,0
29/07/2017,46,0,0,0,0,0,0,0,0
29/07/2017,47,0,0,0,0,0,0,0,0
29/07/2017,48,0,0,0,0,0,0,0,0
30/07/2017,1,0,0,0,0,0,0,0,0
30/07/2017,2,0,0,0,0,0,0,0,0
30/07/2017,3,0,0,0,0,0,0,0,0
30/07/2017,4,0,0,0,0,0,0,0,0
30/07/2017,5,0,0,0,0,0,0,0,0
30/07/2017,6,0,0,0,0,0,0,0,0
30/07/2017,7,0,0,0,0,0,0,0,0
30/07/2017,8,0,0,0,0,0,0,0,0
30/07/2017,9,0,0,0,0,0,0,0,0
30/07/2017,10,0,0,0,0,0,0,0,0
30/07/2017,11,0,0,0,0,0,0,0,0
30/07/2017,12,0,0,0,0,0,0,0,0
30/07/2017,13,0,0,0,0,0,0,0,0
30/07/2017,14,0,0,0,0,0,0,0,0
30/07/2017,15,0,0,0,0,0,0,0,0
30/07/2017,16,0,0,0,0,0,0,0,0
30/07/2017,17,0,0,0,0,0,0,0,0
30/07/2017,18,0,0,0,0,0,0,0,0
30/07/2017,19,0,0,0,0,0,0,0,0
30/07/2017,20,0,0,0,0,0,0,0,0
30/07/2017,21,0,0,0,0,0,0,0,0
30/07/2017,22,0,0,0,0,0,0,0,0
30/07/2017,23,0,0,0,0,0,0,0,0
30/07/2017,24,0,0,0,0,0,0,0,0
30/07/2017,25,0,0,0,0,0,0,0,0
30/07/2017,26,0,0,0,0,0,0,0,0
30/07/2017,27,0,0,0,0,0,0,0,0
30/07/2017,28,0,0,0,0,0,0,0,0
30/07/2017,29,0,0,0,0,0,0,0,0
30/07/2017,30,0,0,0,0,0,0,0,0
30/07/2017,31,0,0,0,0,0,0,0,0
30/07/2017,32,0,0,0,0,0,0,0,0
30/07/2017,33,0,0,0,0,0,0,0,0
30/07/2017,34,0,0,0,0,0,0,0,0
30/07/2017,35,0,0,0,0,0,0,0,0
30/07/2017,36,0,0,0,0,0,0,0,0
30/07/2017,37,0,0,0,0,0,0,0,0
30/07/2017,38,0,0,0,0,0,0,0,0
30/07/2017,39,0,0,0,0,0,0,0,0
30/07/2017,40,0,0,0,0,0,0,0,0
30/07/2017,41,0,0,0,0,0,0,0,0
30/07/2017,42,0,0,0,0,0,0,0,0
30/07/2017,43,0,0,0,0,0,0,0,0
30/07/2017,44,0,0,0,0,0,0,0,0
30/07/2017,45,0,0,0,0,0,0,0,0
30/07/2017,46,0,0,0,0,0,0,0,0
30/07/2017,47,0,0,0,0,0,0,0,0
30/07/2017,48,0,0,0,0,0,0,0,0
31/07/2017,1,0,0,0,0,0,0,0,0
31/07/2017,2,0,0,0,0,0,0,0,0
31/07/2017,3,0,0,0,0,0,0,0,0
31/07/2017,4,0,0,0,0,0,0,0,0
31/07/2017,5,0,0,0,0,0,0,0,0
31/07/2017,6,0,0,0,0,0,0,0,0
31/07/2017,7,0,0,0,0,0,0,0,0
31/07/2017,8,0,0,0,0,0,0,0,0
31/07/2017,9,0,0,0,0,0,0,0,0
31/07/2017,10,0,0,0,0,0,0,0,0
31/07/2017,11,0,0,0,0,0,0,0,0
31/07/2017,12,0,0,0,0,0,0,0,0
31/07/2017,13,0,0,0,0,0,0,0,0
31/07/2017,14,0,0,0,0,0,0,0,0
31/07/2017,15,0,0,0,0,0,0,0,0
31/07/2017,16,0,0,0,0,0,0,0,0
31/07/2017,17,0,0,0,0,0,0,0,0
31/07/2017,18,0,0,0,0,0,0,0,0
31/07/2017,19,0,0,0,0,0,0,0,0
31/07/2017,20,0,0,0,0,0,0,0,0
31/07/2017,21,0,0,0,0,0,0,0,0
31/07/2017,22,0,0,0,0,0,0,0,0
31/07/2017,23,0,0,0,0,0,0,0,0
31/07/2017,24,0,0,0,0,0,0,0,0
31/07/2017,25,0,0,0,0,0,0,0,0
31/07/2017,26,0,0,0,0,0,0,0,0
31/07/2017,27,0,0,0,0,0,0,0,0
31/07/2017,28,0,0,0,0,0,0,0,0
31/07/2017,29,0,0,0,0,0,0,0,0
31/07/2017,30,0,0,0,0,0,0,0,0
31/07/2017,31,0,0,0,0,0,0,0,0
31/07/2017,32,0,0,0,0,0,0,0,0
31/07/2017,33,0,0,0,0,0,0,0,0
31/07/2017,34,0,0,0,0,0,0,0,0
31/07/2017,35,0,0,0,0,0,0,0,0
31/07/2017,36,0,0,0,0,0,0,0,0
31/07/2017,37,0,0,0,0,0,0,0,0
31/07/2017,38,0,0,0,0,0,0,0,0
31/07/2017,39,0,0,0,0,0,0,0,0
31/07/2017,40,0,0,0,0,0,0,0,0
31/07/2017,41,0,0,0,0,0,0,0,0
31/07/2017,42,0,0,0,0,0,0,0,0
31/07/2017,43,0,0,0,0,0,0,0,0
31/07/2017,44,0,0,0,0,0,0,0,0
31/07/2017,45,0,0,0,0,0,0,0,0
31/07/2017,46,0,0,0,0,0,0,0,0
31/07/2017,47,0,0,0,0,0,0,0,0
31/07/2017,48,0,0,0,0,0,0,0,0
01/08/2017,1,0,0,0,0,0,0,0,0
01/08/2017,2,0,0,0,0,0,0,0,0
01/08/2017,3,0,0,0,0,0,0,0,0
01/08/2017,4,0,0,0,0,0,0,0,0
01/08/2017,5,0,0,0,0,0,0,0,0
01/08/2017,6,0,0,0,0,0,0,0,0
01/08/2017,7,0,0,0,0,0,0,0,0
01/08/2017,8,0,0,0,0,0,0,0,0
01/08/2017,9,0,0,0,0,0,0,0,0
01/08/2017,10,0,0,0,0,0,0,0,0
01/08/2017,11,0,0,0,0,0,0,0,0
01/08/2017,12,0,0,0,0,0,0,0,0
01/08/2017,13,0,0,0,0,0,0,0,0
01/08/2017,14,0,0,0,0,0,0,0,0
01/08/2017,15,0,0,0,0,0,0,0,0
01/08/2017,16,0,0,0,0,0,0,0,0
01/08/2017,17,0,0,0,0,0,0,0,0
01/08/2017,18,0,0,0,0,0,0,0,0
01/08/2017,19,0,0,0,0,0,0,0,0
01/08/2017,20,0,0,0,0,0,0,0,0
01/08/2017,21,0,0,0,0,0,0,0,0
01/08/2017,22,0,0,0,0,0,0,0,0
01/08/2017,23,0,0,0,0,0,0,0,0
01/08/2017,24,0,0,0,0,0,0,0,0
01/08/2017,25,0,0,0,0,0,0,0,0
01/08/2017,26,0,0,0,0,0,0,0,0
01/08/2017,27,0,0,0,0,0,0,0,0
01/08/2017,28,0,0,0,0,0,0,0,0
01/08/2017,29,0,0,0,0,0,0,0,0
01/08/2017,30,0,0,0,0,0,0,0,0
01/08/2017,31,0,0,0,0,0,0,0,0
01/08/2017,32,0,0,0,0,0,0,0,0
01/08/2017,33,0,0,0,0,0,0,0,0
01/08/2017,34,0,0,0,0,0,0,0,0
01/08/2017,35,0,0,0,0,0,0,0,0
01/08/2017,36,0,0,0,0,0,0,0,0
01/08/2017,37,0,0,0,0,0,0,0,0
01/08/2017,38,0,0,0,0,0,0,0,0
01/08/2017,39,0,0,0,0,0,0,0,0
01/08/2017,40,0,0,0,0,0,0,0,0
01/08/2017,41,0,0,0,0,0,0,0,0
01/08/2017,42,0,0,0,0,0,0,0,0
01/08/2017,43,0,0,0,0,0,0,0,0
01/08/2017,44,0,0,0,0,0,0,0,0
01/08/2017,45,0,0,0,0,0,0,0,0
01/08/2017,46,0,0,0,0,0,0,0,0
01/08/2017,47,0,0,0,0,0,0,0,0
01/08/2017,48,0,0,0,0,0,0,0,0
02/08/2017,1,0,0,0,0,0,0,0,0
02/08/2017,2,0,0,0,0,0,0,0,0
02/08/2017,3,0,0,0,0,0,0,0,0
02/08/2017,4,0,0,0,0,0,0,0,0
02/08/2017,5,0,0,0,0,0,0,0,0
02/08/2017,6,0,0,0,0,0,0,0,0
02/08/2017,7,0,0,0,0,0,0,0,0
02/08/2017,8,0,0,0,0,0,0,0,0
02/08/2017,9,0,0,0,0,0,0,0,0
02/08/2017,10,0,0,0,0,0,0,0,0
02/08/2017,11,0,0,0,0,0,0,0,0
02/08/2017,12,0,0,0,0,0,0,0,0
02/08/2017,13,0,0,0,0,0,0,0,0
02/08/2017,14,0,0,0,0,0,0,0,0
02/08/2017,15,0,0,0,0,0,0,0,0
02/08/2017,16,0,0,0,0,0,0,0,0
02/08/2017,17,0,0,0,0,0,0,0,0
02/08/2017,18,0,0,0,0,0,0,0,0
02/08/2017,19,0,0,0,0,0,0,0,0
02/08/2017,20,0,0,0,0,0,0,0,0
02/08/2017,21,0,0,0,0,0,0,0,0
02/08/2017,22,0,0,0,0,0,0,0,0
02/08/2017,23,0,0,0,0,0,0,0,0
02/08/2017,24,0,0,0,0,0,0,0,0
02/08/2017,25,0,0,0,0,0,0,0,0
02/08/2017,26,0,0,0,0,0,0,0,0
02/08/2017,27,0,0,0,0,0,0,0,0
02/08/2017,28,0,0,0,0,0,0,0,0
02/08/2017,29,0,0,0,0,0,0,0,0
02/08/2017,30,0,0,0,0,0,0,0,0
02/08/2017,31,0,0,0,0,0,0,0,0
02/08/2017,32,0,0,0,0,0,0,0,0
02/08/2017,33,0,0,0,0,0,0,0,0
02/08/2017,34,0,0,0,0,0,0,0,0
02/08/2017,35,0,0,0,0,0,0,0,0
02/08/2017,36,0,0,0,0,0,0,0,0
02/08/2017,37,0,0,0,0,0,0,0,0
02/08/2017,38,0,0,0,0,0,0,0,0
02/08/2017,39,0,0,0,0,0,0,0,0
02/08/2017,40,0,0,0,0,0,0,0,0
02/08/2017,41,0,0,0,0,0,0,0,0
02/08/2017,42,0,0,0,0,0,0,0,0
02/08/2017,43,0,0,0,0,0,0,0,0
02/08/2017,44,0,0,0,0,0,0,0,0
02/08/2017,45,0,0,0,0,0,0,0,0
02/08/2017,46,0,0,0,0,0,0,0,0
02/08/2017,47,0,0,0,0,0,0,0,0
02/08/2017,48,0,0,0,0,0,0,0,0
03/08/2017,1,0,0,0,0,0,0,0,0
03/08/2017,2,0,0,0,0,0,0,0,0
03/08/2017,3,0,0,0,0,0,0,0,0
03/08/2017,4,0,0,0,0,0,0,0,0
03/08/2017,5,0,0,0,0,0,0,0,0
03/08/2017,6,0,0,0,0,0,0,0,0
03/08/2017,7,0,0,0,0,0,0,0,0
03/08/2017,8,0,0,0,0,0,0,0,0
03/08/2017,9,0,0,0,0,0,0,0,0
03/08/2017,10,0,0,0,0,0,0,0,0
03/08/2017,11,0,0,0,0,0,0,0,0
03/08/2017,12,0,0,0,0,0,0,0,0
03/08/2017,13,0,0,0,0,0,0,0,0
03/08/2017,14,0,0,0,0,0,0,0,0
03/08/2017,15,0,0,0,0,0,0,0,0
03/08/2017,16,0,0,0,0,0,0,0,0
03/08/2017,17,0,0,0,0,0,0,0,0
03/08/2017,18,0,0,0,0,0,0,0,0
03/08/2017,19,0,0,0,0,0,0,0,0
03/08/2017,20,0,0,0,0,0,0,0,0
03/08/2017,21,0,0,0,0,0,0,0,0
03/08/2017,22,0,0,0,0,0,0,0,0
03/08/2017,23,0,0,0,0,0,0,0,0
03/08/2017,24,0,0,0,0,0,0,0,0
03/08/2017,25,0,0,0,0,0,0,0,0
03/08/2017,26,0,0,0,0,0,0,0,0
03/08/2017,27,0,0,0,0,0,0,0,0
03/08/2017,28,0,0,0,0,0,0,0,0
03/08/2017,29,0,0,0,0,0,0,0,0
03/08/2017,30,0,0,0,0,0,0,0,0
03/08/2017,31,0,0,0,0,0,0,0,0
03/08/2017,32,0,0,0,0,0,0,0,0
03/08/2017,33,0,0,0,0,0,0,0,0
03/08/2017,34,0,0,0,0,0,0,0,0
03/08/2017,35,0,0,0,0,0,0,0,0
03/08/2017,36,0,0,0,0,0,0,0,0
03/08/2017,37,0,0,0,0,0,0,0,0
03/08/2017,38,0,0,0,0,0,0,0,0
03/08/2017,39,0,0,0,0,0,0,0,0
03/08/2017,40,0,0,0,0,0,0,0,0
03/08/2017,41,0,0,0,0,0,0,0,0
03/08/2017,42,0,0,0,0,0,0,0,0
03/08/2017,43,0,0,0,0,0,0,0,0
03/08/2017,44,0,0,0,0,0,0,0,0
03/08/2017,45,0,0,0,0,0,0,0,0
03/08/2017,46,0,0,0,0,0,0,0,0
03/08/2017,47,0,0,0,0,0,0,0,0
03/08/2017,48,0,0,0,0,0,0,0,0
04/08/2017,1,0,0,0,0,0,0,0,0
04/08/2017,2,0,0,0,0,0,0,0,0
04/08/2017,3,0,0,0,0,0,0,0,0
04/08/2017,4,0,0,0,0,0,0,0,0
04/08/2017,5,0,0,0,0,0,0,0,0
04/08/2017,6,0,0,0,0,0,0,0,0
04/08/2017,7,0,0,0,0,0,0,0,0
04/08/2017,8,0,0,0,0,0,0,0,0
04/08/2017,9,0,0,0,0,0,0,0,0
04/08/2017,10,0,0,0,0,0,0,0,0
04/08/2017,11,0,0,0,0,0,0,0,0
04/08/2017,12,0,0,0,0,0,0,0,0
04/08/2017,13,0,0,0,0,0,0,0,0
04/08/2017,14,0,0,0,0,0,0,0,0
04/08/2017,15,0,0,0,0,0,0,0,0
04/08/2017,16,0,0,0,0,0,0,0,0
04/08/2017,17,0,0,0,0,0,0,0,0
04/08/2017,18,0,0,0,0,0,0,0,0
04/08/2017,19,0,0,0,0,0,0,0,0
04/08/2017,20,0,0,0,0,0,0,0,0
04/08/2017,21,0,0,0,0,0,0,0,0
04/08/2017,22,0,0,0,0,0,0,0,0
04/08/2017,23,0,0,0,0,0,0,0,0
04/08/2017,24,0,0,0,0,0,0,0,0
04/08/2017,25,0,0,0,0,0,0,0,0
04/08/2017,26,0,0,0,0,0,0,0,0
04/08/2017,27,0,0,0,0,0,0,0,0
04/08/2017,28,0,0,0,0,0,0,0,0
04/08/2017,29,0,0,0,0,0,0,0,0
04/08/2017,30,0,0,0,0,0,0,0,0
04/08/2017,31,0,0,0,0,0,0,0,0
04/08/2017,32,0,0,0,0,0,0,0,0
04/08/2017,33,0,0,0,0,0,0,0,0
04/08/2017,34,0,0,0,0,0,0,0,0
04/08/2017,35,0,0,0,0,0,0,0,0
04/08/2017,36,0,0,0,0,0,0,0,0
04/08/2017,37,0,0,0,0,0,0,0,0
04/08/2017,38,0,0,0,0,0,0,0,0
04/08/2017,39,0,0,0,0,0,0,0,0
04/08/2017,40,0,0,0,0,0,0,0,0
04/08/2017,41,0,0,0,0,0,0,0,0
04/08/2017,42,0,0,0,0,0,0,0,0
04/08/2017,43,0,0,0,0,0,0,0,0
04/08/2017,44,0,0,0,0,0,0,0,0
04/08/2017,45,0,0,0,0,0,0,0,0
04/08/2017,46,0,0,0,0,0,0,0,0
04/08/2017,47,0,0,0,0,0,0,0,0
04/08/2017,48,0,0,0,0,0,0,0,0
05/08/2017,1,0,0,0,0,0,0,0,0
05/08/2017,2,0,0,0,0,0,0,0,0
05/08/2017,3,0,0,0,0,0,0,0,0
05/08/2017,4,0,0,0,0,0,0,0,0
05/08/2017,5,0,0,0,0,0,0,0,0
05/08/2017,6,0,0,0,0,0,0,0,0
05/08/2017,7,0,0,0,0,0,0,0,0
05/08/2017,8,0,0,0,0,0,0,0,0
05/08/2017,9,0,0,0,0,0,0,0,0
05/08/2017,10,0,0,0,0,0,0,0,0
05/08/2017,11,0,0,0,0,0,0,0,0
05/08/2017,12,0,0,0,0,0,0,0,0
05/08/2017,13,0,0,0,0,0,0,0,0
05/08/2017,14,0,0,0,0,0,0,0,0
05/08/2017,15,0,0,0,0,0,0,0,0
05/08/2017,16,0,0,0,0,0,0,0,0
05/08/2017,17,0,0,0,0,0,0,0,0
05/08/2017,18,0,0,0,0,0,0,0,0
05/08/2017,19,0,0,0,0,0,0,0,0
05/08/2017,20,0,0,0,0,0,0,0,0
05/08/2017,21,0,0,0,0,0,0,0,0
05/08/2017,22,0,0,0,0,0,0,0,0
05/08/2017,23,0,0,0,0,0,0,0,0
05/08/2017,24,0,0,0,0,0,0,0,0
05/08/2017,25,0,0,0,0,0,0,0,0
05/08/2017,26,0,0,0,0,0,0,0,0
05/08/2017,27,0,0,0,0,0,0,0,0
05/08/2017,28,0,0,0,0,0,0,0,0
05/08/2017,29,0,0,0,0,0,0,0,0
05/08/2017,30,0,0,0,0,0,0,0,0
05/08/2017,31,0,0,0,0,0,0,0,0
05/08/2017,32,0,0,0,0,0,0,0,0
05/08/2017,33,0,0,0,0,0,0,0,0
05/08/2017,34,0,0,0,0,0,0,0,0
05/08/2017,35,0,0,0,0,0,0,0,0
05/08/2017,36,0,0,0,0,0,0,0,0
05/08/2017,37,0,0,0,0,0,0,0,0
05/08/2017,38,0,0,0,0,0,0,0,0
05/08/2017,39,0,0,0,0,0,0,0,0
05/08/2017,40,0,0,0,0,0,0,0,0
05/08/2017,41,0,0,0,0,0,0,0,0
05/08/2017,42,0,0,0,0,0,0,0,0
05/08/2017,43,0,0,0,0,0,0,0,0
05/08/2017,44,0,0,0,0,0,0,0,0
05/08/2017,45,0,0,0,0,0,0,0,0
05/08/2017,46,0,0,0,0,0,0,0,0
05/08/2017,47,0,0,0,0,0,0,0,0
05/08/2017,48,0,0,0,0,0,0,0,0
06/08/2017,1,0,0,0,0,0,0,0,0
06/08/2017,2,0,0,0,0,0,0,0,0
06/08/2017,3,0,0,0,0,0,0,0,0
06/08/2017,4,0,0,0,0,0,0,0,0
06/08/2017,5,0,0,0,0,0,0,0,0
06/08/2017,6,0,0,0,0,0,0,0,0
06/08/2017,7,0,0,0,0,0,0,0,0
06/08/2017,8,0,0,0,0,0,0,0,0
06/08/2017,9,0,0,0,0,0,0,0,0
06/08/2017,10,0,0,0,0,0,0,0,0
06/08/2017,11,0,0,0,0,0,0,0,0
06/08/2017,12,0,0,0,0,0,0,0,0
06/08/2017,13,0,0,0,0,0,0,0,0
06/08/2017,14,0,0,0,0,0,0,0,0
06/08/2017,15,0,0,0,0,0,0,0,0
06/08/2017,16,0,0,0,0,0,0,0,0
06/08/2017,17,0,0,0,0,0,0,0,0
06/08/2017,18,0,0,0,0,0,0,0,0
06/08/2017,19,0,0,0,0,0,0,0,0
06/08/2017,20,0,0,0,0,0,0,0,0
06/08/2017,21,0,0,0,0,0,0,0,0
06/08/2017,22,0,0,0,0,0,0,0,0
06/08/2017,23,0,0,0,0,0,0,0,0
06/08/2017,24,0,0,0,0,0,0,0,0
06/08/2017,25,0,0,0,0,0,0,0,0
06/08/2017,26,0,0,0,0,0,0,0,0
06/08/2017,27,0,0,0,0,0,0,0,0
06/08/2017,28,0,0,0,0,0,0,0,0
06/08/2017,29,0,0,0,0,0,0,0,0
06/08/2017,30,0,0,0,0,0,0,0,0
06/08/2017,31,0,0,0,0,0,0,0,0
06/08/2017,32,0,0,0,0,0,0,0,0
06/08/2017,33,0,0,0,0,0,0,0,0
06/08/2017,34,0,0,0,0,0,0,0,0
06/08/2017,35,0,0,0,0,0,0,0,0
06/08/2017,36,0,0,0,0,0,0,0,0
06/08/2017,37,0,0,0,0,0,0,0,0
06/08/2017,38,0,0,0,0,0,0,0,0
06/08/2017,39,0,0,0,0,0,0,0,0
06/08/2017,40,0,0,0,0,0,0,0,0
06/08/2017,41,0,0,0,0,0,0,0,0
06/08/2017,42,0,0,0,0,0,0,0,0
06/08/2017,43,0,0,0,0,0,0,0,0
06/08/2017,44,0,0,0,0,0,0,0,0
06/08/2017,45,0,0,0,0,0,0,0,0
06/08/2017,46,0,0,0,0,0,0,0,0
06/08/2017,47,0,0,0,0,0,0,0,0
06/08/2017,48,0,0,0,0,0,0,0,0
07/08/2017,1,0,0,0,0,0,0,0,0
07/08/2017,2,0,0,0,0,0,0,0,0
07/08/2017,3,0,0,0,0,0,0,0,0
07/08/2017,4,0,0,0,0,0,0,0,0
07/08/2017,5,0,0,0,0,0,0,0,0
07/08/2017,6,0,0,0,0,0,0,0,0
07/08/2017,7,0,0,0,0,0,0,0,0
07/08/2017,8,0,0,0,0,0,0,0,0
07/08/2017,9,0,0,0,0,0,0,0,0
07/08/2017,10,0,0,0,0,0,0,0,0
07/08/2017,11,0,0,0,0,0,0,0,0
07/08/2017,12,0,0,0,0,0,0,0,0
07/08/2017,13,0,0,0,0,0,0,0,0
07/08/2017,14,0,0,0,0,0,0,0,0
07/08/2017,15,0,0,0,0,0,0,0,0
07/08/2017,16,0,0,0,0,0,0,0,0
07/08/2017,17,0,0,0,0,0,0,0,0
07/08/2017,18,0,0,0,0,0,0,0,0
07/08/2017,19,0,0,0,0,0,0,0,0
07/08/2017,20,0,0,0,0,0,0,0,0
07/08/2017,21,0,0,0,0,0,0,0,0
07/08/2017,22,0,0,0,0,0,0,0,0
07/08/2017,23,0,0,0,0,0,0,0,0
07/08/2017,24,0,0,0,0,0,0,0,0
07/08/2017,25,0,0,0,0,0,0,0,0
07/08/2017,26,0,0,0,0,0,0,0,0
07/08/2017,27,0,0,0,0,0,0,0,0
07/08/2017,28,0,0,0,0,0,0,0,0
07/08/2017,29,0,0,0,0,0,0,0,0
07/08/2017,30,0,0,0,0,0,0,0,0
07/08/2017,31,0,0,0,0,0,0,0,0
07/08/2017,32,0,0,0,0,0,0,0,0
07/08/2017,33,0,0,0,0,0,0,0,0
07/08/2017,34,0,0,0,0,0,0,0,0
07/08/2017,35,0,0,0,0,0,0,0,0
07/08/2017,36,0,0,0,0,0,0,0,0
07/08/2017,37,0,0,0,0,0,0,0,0
07/08/2017,38,0,0,0,0,0,0,0,0
07/08/2017,39,0,0,0,0,0,0,0,0
07/08/2017,40,0,0,0,0,0,0,0,0
07/08/2017,41,0,0,0,0,0,0,0,0
07/08/2017,42,0,0,0,0,0,0,0,0
07/08/2017,43,0,0,0,0,0,0,0,0
07/08/2017,44,0,0,0,0,0,0,0,0
07/08/2017,45,0,0,0,0,0,0,0,0
07/08/2017,46,0,0,0,0,0,0,0,0
07/08/2017,47,0,0,0,0,0,0,0,0
07/08/2017,48,0,0,0,0,0,0,0,0
08/08/2017,1,0,0,0,0,0,0,0,0
08/08/2017,2,0,0,0,0,0,0,0,0
08/08/2017,3,0,0,0,0,0,0,0,0
08/08/2017,4,0,0,0,0,0,0,0,0
08/08/2017,5,0,0,0,0,0,0,0,0
08/08/2017,6,0,0,0,0,0,0,0,0
08/08/2017,7,0,0,0,0,0,0,0,0
08/08/2017,8,0,0,0,0,0,0,0,0
08/08/2017,9,0,0,0,0,0,0,0,0
08/08/2017,10,0,0,0,0,0,0,0,0
08/08/2017,11,0,0,0,0,0,0,0,0
08/08/2017,12,0,0,0,0,0,0,0,0
08/08/2017,13,0,0,0,0,0,0,0,0
08/08/2017,14,0,0,0,0,0,0,0,0
08/08/2017,15,0,0,0,0,0,0,0,0
08/08/2017,16,0,0,0,0,0,0,0,0
08/08/2017,17,0,0,0,0,0,0,0,0
08/08/2017,18,0,0,0,0,0,0,0,0
08/08/2017,19,0,0,0,0,0,0,0,0
08/08/2017,20,0,0,0,0,0,0,0,0
08/08/2017,21,0,0,0,0,0,0,0,0
08/08/2017,22,0,0,0,0,0,0,0,0
08/08/2017,23,0,0,0,0,0,0,0,0
08/08/2017,24,0,0,0,0,0,0,0,0
08/08/2017,25,0,0,0,0,0,0,0,0
08/08/2017,26,0,0,0,0,0,0,0,0
08/08/2017,27,0,0,0,0,0,0,0,0
08/08/2017,28,0,0,0,0,0,0,0,0
08/08/2017,29,0,0,0,0,0,0,0,0
08/08/2017,30,0,0,0,0,0,0,0,0
08/08/2017,31,0,0,0,0,0,0,0,0
08/08/2017,32,0,0,0,0,0,0,0,0
08/08/2017,33,0,0,0,0,0,0,0,0
08/08/2017,34,0,0,0,0,0,0,0,0
08/08/2017,35,0,0,0,0,0,0,0,0
